"","X","continent","country","year","pop","gdp","lifeExp","gdpPercap"
"100",100,"Africa","Lesotho",1967,996380,496833953.22407,48.492,498.6390265
"101",101,"Africa","Liberia",1952,863308,496896772.117099,38.48,575.5729961
"102",102,"Africa","Liberia",1957,975950,606035661.838095,39.486,620.9699901
"103",103,"Africa","Liberia",1962,1112796,705729840.04935,40.502,634.1951625
"104",104,"Africa","Liberia",1967,1279406,912988789.25691,41.536,713.6036483
"105",105,"Africa","Libya",1952,1019729,2434651995.67574,42.723,2387.54806
"106",106,"Africa","Libya",1957,1201578,4143382666.77531,45.289,3448.284395
"107",107,"Africa","Libya",1962,1441863,9742712723.45021,47.808,6757.030816
"108",108,"Africa","Libya",1967,1759224,33025475319.0886,50.227,18772.75169
"109",109,"Africa","Madagascar",1952,4762912,6872937813.51408,36.681,1443.011715
"110",110,"Africa","Madagascar",1957,5181679,8234738516.41725,38.865,1589.20275
"111",111,"Africa","Madagascar",1962,5703324,9372769145.75364,40.848,1643.38711
"112",112,"Africa","Madagascar",1967,6334556,10350964014.4768,42.881,1634.047282
"113",113,"Africa","Malawi",1952,2917802,1077150609.33772,36.256,369.1650802
"114",114,"Africa","Malawi",1957,3221238,1341226242.42832,37.207,416.369806399999
"115",115,"Africa","Malawi",1962,3628608,1552685302.41684,38.41,427.901085599999
"116",116,"Africa","Malawi",1967,4147252,2055024664.87291,39.487,495.5147806
"117",117,"Africa","Mali",1952,3838168,1736145324.53936,33.685,452.336980700001
"118",118,"Africa","Mali",1957,4241884,2080144351.64774,35.307,490.382186699999
"119",119,"Africa","Mali",1962,4690372,2327242244.58752,36.936,496.1743428
"120",120,"Africa","Mali",1967,5212416,2840818256.72072,38.487,545.009887300001
"121",121,"Africa","Mauritania",1952,1022556,759877632.159193,40.543,743.1159097
"122",122,"Africa","Mauritania",1957,1076852,911146295.621428,42.338,846.1202613
"123",123,"Africa","Mauritania",1962,1146757,1210856170.55525,44.248,1055.896036
"124",124,"Africa","Mauritania",1967,1230542,1748778848.08461,46.289,1421.145193
"125",125,"Africa","Mauritius",1952,516556,1016559328.18509,50.986,1967.955707
"126",126,"Africa","Mauritius",1957,609816,1240388905.4215,58.089,2034.03798100001
"127",127,"Africa","Mauritius",1962,701016,1772916773.46679,60.246,2529.067487
"128",128,"Africa","Mauritius",1967,789309,1953845681.17466,61.557,2475.387562
"129",129,"Africa","Morocco",1952,9939217,16779421622.4047,42.873,1688.20357
"130",130,"Africa","Morocco",1957,11406350,18729253094.2939,45.423,1642.002314
"131",131,"Africa","Morocco",1962,13056604,20451257282.1178,47.924,1566.353493
"132",132,"Africa","Morocco",1967,14770296,25272637722.1519,50.335,1711.04477
"133",133,"Africa","Mozambique",1952,6446316,3020266895.82064,31.286,468.5260381
"134",134,"Africa","Mozambique",1957,7038035,3487957478.30457,33.779,495.586833300001
"135",135,"Africa","Mozambique",1962,7788944,4335998836.09128,36.161,556.6863539
"136",136,"Africa","Mozambique",1967,8680909,4919203358.1129,38.113,566.669153900001
"137",137,"Africa","Namibia",1952,485831,1177547676.40313,41.725,2423.78044299999
"138",138,"Africa","Namibia",1957,548080,1436763251.62864,45.226,2621.448058
"139",139,"Africa","Namibia",1962,621392,1971810785.00824,48.386,3173.215595
"140",140,"Africa","Namibia",1967,706640,2680776460.25992,51.159,3793.694753
"141",141,"Africa","Niger",1952,3379468,2574746971.05197,37.444,761.879376000001
"142",142,"Africa","Niger",1957,3692184,3084906138.33606,38.598,835.5234025
"143",143,"Africa","Niger",1962,4076008,4066902657.4941,39.487,997.7661127
"144",144,"Africa","Niger",1967,4534062,4780646467.65724,40.118,1054.384891
"145",145,"Africa","Nigeria",1952,33119096,35678601207.9222,36.324,1077.281856
"146",146,"Africa","Nigeria",1957,37173340,40912701545.8704,37.802,1100.592563
"147",147,"Africa","Nigeria",1962,41871351,48190888406.8828,39.36,1150.927478
"148",148,"Africa","Nigeria",1967,47287752,47974091350.4542,41.04,1014.514104
"149",149,"Africa","Reunion",1952,257700,700656740.5215,52.724,2718.885295
"150",150,"Africa","Reunion",1957,308700,854929784.2428,55.09,2769.451844
"151",151,"Africa","Reunion",1962,358900,1139049306.726,57.666,3173.72334
"152",152,"Africa","Reunion",1967,414024,1664863264.16374,60.542,4021.17573900001
"153",153,"Africa","Rwanda",1952,2534927,1250540010.98911,40,493.3238752
"154",154,"Africa","Rwanda",1957,2822082,1524740985.73326,41.5,540.2893983
"155",155,"Africa","Rwanda",1962,3051242,1823034933.29129,43,597.473072699999
"156",156,"Africa","Rwanda",1967,3451079,1763376143.83762,44.1,510.963714199999
"157",157,"Africa","Sao Tome and Principe",1952,60011,52784690.5494405,46.471,879.5835855
"158",158,"Africa","Sao Tome and Principe",1957,61325,52784690.551945,48.945,860.7369026
"159",159,"Africa","Sao Tome and Principe",1962,65345,70020507.871055,51.893,1071.551119
"160",160,"Africa","Sao Tome and Principe",1967,70787,98028711.056691,54.425,1384.840593
"161",161,"Africa","Senegal",1952,2755589,3996587748.42799,37.278,1450.356983
"162",162,"Africa","Senegal",1957,3054547,4788469786.51828,39.329,1567.653006
"163",163,"Africa","Senegal",1962,3430243,5677013482.14969,41.454,1654.988723
"164",164,"Africa","Senegal",1967,3965841,6394540398.17551,43.563,1612.404632
"165",165,"Africa","Sierra Leone",1952,2143249,1885604184.96561,30.331,879.787735799998
"166",166,"Africa","Sierra Leone",1957,2295678,2305972823.36329,31.57,1004.484437
"167",167,"Africa","Sierra Leone",1962,2467895,2755749969.24892,32.767,1116.639877
"168",168,"Africa","Sierra Leone",1967,2662190,3210716852.08835,34.113,1206.043465
"169",169,"Africa","Somalia",1952,2526994,2870033036.23495,32.978,1135.749842
"170",170,"Africa","Somalia",1957,2780415,3498171939.31639,34.977,1258.147413
"171",171,"Africa","Somalia",1962,3080153,4218233606.59541,36.981,1369.488336
"172",172,"Africa","Somalia",1967,3428839,4405143232.17802,38.977,1284.73318
"173",173,"Africa","South Africa",1952,14264935,67406033605.5055,45.009,4725.295531
"174",174,"Africa","South Africa",1957,16151549,88625232661.2852,47.985,5487.104219
"175",175,"Africa","South Africa",1962,18356657,105894592740.676,49.951,5768.729717
"176",176,"Africa","South Africa",1967,20997321,149384977704.516,51.927,7114.47797100001
"177",177,"Africa","Sudan",1952,8504667,13743466427.099,38.635,1615.99112899999
"178",178,"Africa","Sudan",1957,9753392,17266791454.855,39.624,1770.337074
"179",179,"Africa","Sudan",1962,11183227,21914581924.1461,40.87,1959.593767
"180",180,"Africa","Sudan",1967,12716129,21464795754.6517,42.858,1687.997641
"181",181,"Africa","Swaziland",1952,290243,333308277.060118,41.407,1148.376626
"182",182,"Africa","Swaziland",1957,326741,406697255.561724,43.424,1244.708364
"183",183,"Africa","Swaziland",1962,370006,686798523.34275,44.992,1856.182125
"184",184,"Africa","Swaziland",1967,420690,1099305739.44885,46.633,2613.101665
"185",185,"Africa","Tanzania",1952,8322925,5964624801.33289,41.215,716.6500721
"186",186,"Africa","Tanzania",1957,9452826,6603135550.61123,42.974,698.5356073
"187",187,"Africa","Tanzania",1962,10863958,7843819038.34729,44.246,722.0038073
"188",188,"Africa","Tanzania",1967,12607312,10693757259.3236,45.757,848.218657499997
"189",189,"Africa","Togo",1952,1219113,1048203910.89551,38.596,859.808656700002
"190",190,"Africa","Togo",1957,1357445,1256869619.71389,41.208,925.908320200001
"191",191,"Africa","Togo",1962,1528098,1631297808.09138,43.922,1067.53481
"192",192,"Africa","Togo",1967,1735550,2564443056.818,46.769,1477.59676
"193",193,"Africa","Tunisia",1952,3647735,5356609955.84579,44.6,1468.475631
"194",194,"Africa","Tunisia",1957,3950849,5512352800.96533,47.1,1395.232468
"195",195,"Africa","Tunisia",1962,4286552,7116976045.43192,49.579,1660.30321
"196",196,"Africa","Tunisia",1967,4786986,9250181066.38666,52.053,1932.360167
"197",197,"Africa","Uganda",1952,5824797,4279789889.34275,39.978,734.753484
"198",198,"Africa","Uganda",1957,6675501,5169314846.81567,42.571,774.3710692
"199",199,"Africa","Uganda",1962,7688797,5899396651.15902,45.344,767.2717398
"200",200,"Africa","Uganda",1967,8900294,8089642065.17538,48.051,908.9185217
"201",201,"Africa","Zambia",1952,2672000,3065822956.432,42.038,1147.388831
"202",202,"Africa","Zambia",1957,3016000,3956861606.256,44.077,1311.956766
"203",203,"Africa","Zambia",1962,3421000,4969774845.486,46.023,1452.725766
"204",204,"Africa","Zambia",1967,3900000,6930601540.2,47.768,1777.077318
"205",205,"Africa","Zimbabwe",1952,3080907,1253572117.47612,48.451,406.884114799999
"206",206,"Africa","Zimbabwe",1957,3646340,1891590901.34375,50.469,518.764268099999
"207",207,"Africa","Zimbabwe",1962,4277736,2255531193.8844,52.358,527.272181799999
"208",208,"Africa","Zimbabwe",1967,4995432,2846372532.11476,53.995,569.7950712
"209",209,"Americas","Argentina",1952,17876956,105676319104.619,62.485,5911.31505300002
"210",210,"Americas","Argentina",1957,19610538,134466639305.962,64.399,6856.856212
"211",211,"Americas","Argentina",1962,21283783,151820757736.505,65.142,7133.166023
"212",212,"Americas","Argentina",1967,22934225,184688236498.044,65.634,8052.95302100001
"213",213,"Americas","Bolivia",1952,2883315,7719575216.20031,40.414,2677.326347
"214",214,"Americas","Bolivia",1957,3211738,6833571025.29459,41.89,2127.686326
"215",215,"Americas","Bolivia",1962,3593918,7838236490.57523,43.428,2180.972546
"216",216,"Americas","Bolivia",1967,4040665,10452739933.3452,45.032,2586.88605299999
"217",217,"Americas","Brazil",1952,56602560,119371649390.549,50.917,2108.944355
"218",218,"Americas","Brazil",1957,65551171,163049753284.523,53.285,2487.365989
"219",219,"Americas","Brazil",1962,76039390,253711949066.741,55.665,3336.585802
"220",220,"Americas","Brazil",1967,88049823,301998949547.859,57.632,3429.864357
"221",221,"Americas","Canada",1952,14785584,168070115581.294,68.75,11367.16112
"222",222,"Americas","Canada",1957,17010154,212455973972.909,69.96,12489.95006
"223",223,"Americas","Canada",1962,18985849,255596717816.982,71.3,13462.48555
"224",224,"Americas","Canada",1967,20819767,334710816939.589,72.13,16076.58803
"225",225,"Americas","Chile",1952,6377619,25127683584.3234,54.745,3939.978789
"226",226,"Americas","Chile",1957,7048426,30418347406.984,56.074,4315.622723
"227",227,"Americas","Chile",1962,7961258,35977675895.4284,57.924,4519.094331
"228",228,"Americas","Chile",1967,8858908,45239380746.6702,60.523,5106.654313
"229",229,"Americas","Colombia",1952,12350771,26481474548.339,50.643,2144.115096
"230",230,"Americas","Colombia",1957,14485993,33662631379.7269,55.118,2323.805581
"231",231,"Americas","Colombia",1962,17009885,42394605743.7125,57.863,2492.351109
"232",232,"Americas","Colombia",1967,19764027,52942488863.7017,59.963,2678.729839
"233",233,"Americas","Costa Rica",1952,926317,2433443532.14831,57.206,2627.009471
"234",234,"Americas","Costa Rica",1957,1112300,3325789015.0646,60.026,2990.010802
"235",235,"Americas","Costa Rica",1962,1345187,4655607493.84867,62.842,3460.937025
"236",236,"Americas","Costa Rica",1967,1588717,6611807759.24898,65.424,4161.727834
"237",237,"Americas","Cuba",1952,6007797,33562790922.8677,59.421,5586.53878000001
"238",238,"Americas","Cuba",1957,6640752,40456619058.878,62.325,6092.174359
"239",239,"Americas","Cuba",1962,7254373,37583135793.0944,65.246,5180.75591
"240",240,"Americas","Cuba",1967,8139332,46314980543.066,68.29,5690.268015
"241",241,"Americas","Dominican Republic",1952,2491346,3482196998.3964,45.928,1397.717137
"242",242,"Americas","Dominican Republic",1957,2923186,4514577213.34207,49.828,1544.402995
"243",243,"Americas","Dominican Republic",1962,3453434,5740081668.24081,53.459,1662.137359
"244",244,"Americas","Dominican Republic",1967,4049146,6696165882.70544,56.751,1653.723003
"245",245,"Americas","Ecuador",1952,3548753,12499100973.2859,48.357,3522.110717
"246",246,"Americas","Ecuador",1957,4058385,15342913820.2186,51.356,3780.54665099999
"247",247,"Americas","Ecuador",1962,4681707,19129988881.7711,54.64,4086.11407799999
"248",248,"Americas","Ecuador",1967,5432424,24875472663.3472,56.678,4579.07421500001
"249",249,"Americas","El Salvador",1952,2042865,6227271303.8085,45.262,3048.3029
"250",250,"Americas","El Salvador",1957,2355805,8060441504.58049,48.57,3421.523218
"251",251,"Americas","El Salvador",1962,2747687,10377474227.4607,52.307,3776.80362699998
"252",252,"Americas","El Salvador",1967,3232927,14091020728.1053,55.855,4358.595393
"253",253,"Americas","Guatemala",1952,3146381,7640161179.86399,42.023,2428.237769
"254",254,"Americas","Guatemala",1957,3640876,9528740348.50709,44.142,2617.155967
"255",255,"Americas","Guatemala",1962,4208858,11575893401.4627,46.954,2750.36444600001
"256",256,"Americas","Guatemala",1967,4690773,15209977556.0066,50.016,3242.53114699999
"257",257,"Americas","Haiti",1952,3201488,5891912670.80523,37.579,1840.366939
"258",258,"Americas","Haiti",1957,3507701,6057406350.57928,40.696,1726.887882
"259",259,"Americas","Haiti",1962,3880130,6970999000.73416,43.59,1796.589032
"260",260,"Americas","Haiti",1967,4318137,6270183933.68824,46.243,1452.057666
"261",261,"Americas","Honduras",1952,1517453,3330697353.03841,41.912,2194.926204
"262",262,"Americas","Honduras",1957,1770390,3931129187.33598,44.665,2220.487682
"263",263,"Americas","Honduras",1962,2090162,4788888952.55727,48.041,2291.156835
"264",264,"Americas","Honduras",1967,2500689,6347422262.58766,50.924,2538.269358
"265",265,"Americas","Jamaica",1952,1426095,4133580396.7397,58.53,2898.530881
"266",266,"Americas","Jamaica",1957,1535090,7301695161.15529,62.61,4756.525781
"267",267,"Americas","Jamaica",1962,1665128,8735440529.22307,65.61,5246.107524
"268",268,"Americas","Jamaica",1967,1861096,11398661093.8423,67.51,6124.703451
"269",269,"Americas","Mexico",1952,30144317,104845718511.969,50.789,3478.12552900001
"270",270,"Americas","Mexico",1957,35015548,144668369722.174,55.19,4131.54664099999
"271",271,"Americas","Mexico",1962,41121485,188402581601.137,58.299,4581.60938500001
"272",272,"Americas","Mexico",1967,47995559,276201669610.826,60.11,5754.73388300001
"273",273,"Americas","Nicaragua",1952,1165790,3628362766.93892,42.314,3112.363948
"274",274,"Americas","Nicaragua",1957,1358828,4698033596.43012,45.432,3457.415947
"275",275,"Americas","Nicaragua",1962,1590597,5780809121.09038,48.632,3634.364406
"276",276,"Americas","Nicaragua",1967,1865490,8662204203.74166,51.884,4643.393534
"277",277,"Americas","Panama",1952,940080,2331755944.38672,55.191,2480.380334
"278",278,"Americas","Panama",1957,1063506,3149893033.27293,59.201,2961.800905
"279",279,"Americas","Panama",1962,1215725,4299460457.43322,61.817,3536.540301
"280",280,"Americas","Panama",1967,1405486,6213666373.43482,64.071,4421.009084
"281",281,"Americas","Paraguay",1952,1555876,3037550252.47708,62.649,1952.308701
"282",282,"Americas","Paraguay",1957,1770902,3623539461.16481,63.196,2046.154706
"283",283,"Americas","Paraguay",1962,2009813,4317132882.3837,64.361,2148.027146
"284",284,"Americas","Paraguay",1967,2287985,5260938508.92334,64.951,2299.376311
"285",285,"Americas","Peru",1952,8025700,30164781548.3309,43.902,3758.523437
"286",286,"Americas","Peru",1957,9146100,38827542285.5778,46.263,4245.256698
"287",287,"Americas","Peru",1962,10516500,52130689937.703,49.096,4957.037982
"288",288,"Americas","Peru",1967,12132200,70222305898.226,51.445,5788.09333
"289",289,"Americas","Puerto Rico",1952,2227000,6863524441.195,64.28,3081.959785
"290",290,"Americas","Puerto Rico",1957,2260000,8830172987.14,68.54,3907.156189
"291",291,"Americas","Puerto Rico",1962,2448046,12505462638.093,69.62,5108.34463000001
"292",292,"Americas","Puerto Rico",1967,2648961,18355386422.5552,71.1,6929.27771400002
"293",293,"Americas","Trinidad and Tobago",1952,662850,2003975797.4748,59.1,3023.271928
"294",294,"Americas","Trinidad and Tobago",1957,764900,3136390911.66,61.8,4100.3934
"295",295,"Americas","Trinidad and Tobago",1962,887498,4435292529.21456,64.9,4997.523971
"296",296,"Americas","Trinidad and Tobago",1967,960155,5397385045.23316,65.4,5621.368472
"297",297,"Americas","United States",1952,157553000,2204242423150.24,68.44,13990.48208
"298",298,"Americas","United States",1957,171984000,2553468310606.08,69.49,14847.12712
"299",299,"Americas","United States",1962,186538000,3016906282432.68,70.21,16173.14586
"300",300,"Americas","United States",1967,198712000,3880918003145.84,70.76,19530.36557
"301",301,"Americas","Uruguay",1952,2252965,12879675387.396,66.071,5716.76674400002
"302",302,"Americas","Uruguay",1957,2424959,14915372268.1333,67.044,6150.77296900001
"303",303,"Americas","Uruguay",1962,2598466,14560134513.4621,68.253,5603.35771699999
"304",304,"Americas","Uruguay",1967,2748579,14964967150.52,68.468,5444.61962000001
"305",305,"Americas","Venezuela",1952,5439568,41829188706.3432,55.088,7689.79976099999
"306",306,"Americas","Venezuela",1957,6702668,65702678704.8914,57.907,9802.46652600001
"307",307,"Americas","Venezuela",1962,8143375,68591437240.9069,60.77,8422.974165
"308",308,"Americas","Venezuela",1967,9709552,92643439785.0438,63.479,9541.474188
"309",309,"Asia","Afghanistan",1952,8425333,6567086329.95223,28.801,779.4453145
"310",310,"Asia","Afghanistan",1957,9240934,7585448670.23365,30.332,820.8530296
"311",311,"Asia","Afghanistan",1962,10267083,8758855796.92893,31.997,853.10071
"312",312,"Asia","Afghanistan",1967,11537966,9648014149.8489,34.02,836.1971382
"313",313,"Asia","Bahrain",1952,120447,1188460758.68995,50.939,9867.08476499996
"314",314,"Asia","Bahrain",1957,138655,1613361772.73975,53.832,11635.79945
"315",315,"Asia","Bahrain",1962,171863,2191816125.38582,56.923,12753.27514
"316",316,"Asia","Bahrain",1967,202182,2993238335.8314,59.923,14804.6727
"317",317,"Asia","Bangladesh",1952,46886859,32082059995.381,37.484,684.2441716
"318",318,"Asia","Bangladesh",1957,51365468,33985317661.0907,39.348,661.6374577
"319",319,"Asia","Bangladesh",1962,56839289,39011165929.1472,41.216,686.341553799999
"320",320,"Asia","Bangladesh",1967,62821884,45306268649.6704,43.453,721.1860862
"321",321,"Asia","Cambodia",1952,4693836,1729534397.64356,39.417,368.4692856
"322",322,"Asia","Cambodia",1957,5322536,2310184670.86911,41.366,434.0383364
"323",323,"Asia","Cambodia",1962,6083619,3023033307.89866,43.415,496.913647599999
"324",324,"Asia","Cambodia",1967,6960067,3643123976.79705,45.415,523.4323142
"325",325,"Asia","China",1952,556263528,222754956970.681,44,400.448610700001
"326",326,"Asia","China",1957,637408000,367138722269.667,50.54896,575.9870009
"327",327,"Asia","China",1962,665770000,324678731163.591,44.50136,487.6740183
"328",328,"Asia","China",1967,754550000,462317080954.97,58.38112,612.7056934
"329",329,"Asia","Hong Kong China",1952,2125900,6493394048.2131,60.96,3054.421209
"330",330,"Asia","Hong Kong China",1957,2736300,9930241909.2891,64.75,3629.076457
"331",331,"Asia","Hong Kong China",1962,3305200,15510141068.6144,67.65,4692.648272
"332",332,"Asia","Hong Kong China",1967,3722800,23073775963.9592,70,6197.962814
"333",333,"Asia","India",1952,372000000,203322458739.6,37.373,546.5657493
"334",334,"Asia","India",1957,409000000,241335356364,40.249,590.061996
"335",335,"Asia","India",1962,454000000,298889606508.6,43.605,658.3471509
"336",336,"Asia","India",1967,506000000,354589929014.2,47.193,700.7706107
"337",337,"Asia","Indonesia",1952,82052000,61512879123.2392,37.468,749.6816546
"338",338,"Asia","Indonesia",1957,90124000,77407527996.5668,39.918,858.9002707
"339",339,"Asia","Indonesia",1962,99028000,84103467353.4628,42.518,849.2897701
"340",340,"Asia","Indonesia",1967,109343000,83366577256.7303,45.964,762.4317721
"341",341,"Asia","Iran",1952,17272000,52426150706.544,44.869,3035.326002
"342",342,"Asia","Iran",1957,19792000,65120779270.256,47.181,3290.257643
"343",343,"Asia","Iran",1962,22874000,95780981890.948,49.325,4187.329802
